id,datetime,temp,dew,difference,windspeed,conditions
1097,01-01-2018,-25,-28.9,3.9,24.6,Clear
1098,02-01-2018,-18.5,-22.3,3.8,38.4,Clear
1099,03-01-2018,-16.9,-20.3,3.4,37.1,Partially cloudy
1100,04-01-2018,-16.9,-21,4.1,12.9,Overcast
1101,05-01-2018,-19.1,-23.1,4,16.8,Clear
1102,06-01-2018,-19.9,-23.3,3.4,33.3,Partially cloudy
1103,07-01-2018,-5.5,-9,3.5,29,Partially cloudy
1104,08-01-2018,-2.8,-5.1,2.3,30.9,Clear
1105,09-01-2018,-1,-3.1,2.1,31.5,Clear
1106,10-01-2018,1.4,0.9,0.5,33,Partially cloudy
1107,11-01-2018,-11.7,-14,2.3,48.9,"Snow, Overcast"
1108,12-01-2018,-19.3,-23.7,4.4,38.6,Partially cloudy
1109,13-01-2018,-20.1,-24.1,4,21.7,Clear
1110,14-01-2018,-12.8,-15.4,2.6,39.2,"Snow, Partially cloudy"
1111,15-01-2018,-18.3,-21.4,3.1,46,Overcast
1112,16-01-2018,-18.8,-21.7,2.9,33.8,Partially cloudy
1113,17-01-2018,-11,-15.5,4.5,36.4,Clear
1114,18-01-2018,-3.6,-8.1,4.5,29.9,Clear
1115,19-01-2018,1,-3.3,4.3,30.9,Clear
1116,20-01-2018,1.4,-1.3,2.7,13.4,Clear
1117,21-01-2018,0,-1.4,1.4,28.7,"Snow, Partially cloudy"
1118,22-01-2018,0.5,-0.6,1.1,48.3,"Snow, Overcast"
1119,23-01-2018,-5.9,-8.3,2.4,43.8,Partially cloudy
1120,24-01-2018,-5,-6.3,1.3,21.9,Partially cloudy
1121,25-01-2018,-2.5,-4.1,1.6,20.6,Partially cloudy
1122,26-01-2018,3.2,-0.8,4,31,Clear
1123,27-01-2018,-0.1,-3.3,3.2,25,Partially cloudy
1124,28-01-2018,-7.1,-10.4,3.3,27.2,Overcast
1125,29-01-2018,-12.2,-15.3,3.1,21.3,Partially cloudy
1126,30-01-2018,-7.3,-11.7,4.4,46,Partially cloudy
1127,31-01-2018,-0.9,-5.3,4.4,47.7,Partially cloudy
1128,01-02-2018,-15,-20.3,5.3,52.1,Clear
1129,02-02-2018,-13.8,-17.5,3.7,25.1,Partially cloudy
1130,03-02-2018,-3.7,-7.8,4.1,36.2,Overcast
1131,04-02-2018,-15.2,-19.6,4.4,41.2,Partially cloudy
1132,05-02-2018,-14.3,-17.6,3.3,30.4,"Snow, Partially cloudy"
1133,06-02-2018,-17.1,-20.8,3.7,21.6,Partially cloudy
1134,07-02-2018,-14.2,-17.1,2.9,24.8,Partially cloudy
1135,08-02-2018,-11.1,-13.8,2.7,23.2,"Snow, Partially cloudy"
1136,09-02-2018,-13.8,-18,4.2,30.6,"Snow, Partially cloudy"
1137,10-02-2018,-15,-18.9,3.9,22.7,Partially cloudy
1138,11-02-2018,-14,-18.3,4.3,28.2,Partially cloudy
1139,12-02-2018,-14.9,-19.6,4.7,23,Clear
1140,13-02-2018,-8.1,-12.1,4,27.6,Partially cloudy
1141,14-02-2018,-1.9,-4.2,2.3,31.6,Clear
1142,15-02-2018,0.2,-2.1,2.3,43.6,Partially cloudy
1143,16-02-2018,-11.2,-16.3,5.1,52.3,Clear
1144,17-02-2018,-4.2,-7.7,3.5,26,"Snow, Partially cloudy"
1145,18-02-2018,-1,-4.2,3.2,43.6,Clear
1146,19-02-2018,-1,-2.3,1.3,32.2,"Snow, Overcast"
1147,20-02-2018,-6.9,-8.8,1.9,38.4,"Snow, Partially cloudy"
1148,21-02-2018,-9.6,-13.7,4.1,26.6,Snow
1149,22-02-2018,-3.5,-6,2.5,33.9,"Snow, Overcast"
1150,23-02-2018,-4.2,-5.8,1.6,28.5,"Snow, Partially cloudy"
1151,24-02-2018,-5.2,-6.2,1,38.8,"Snow, Partially cloudy"
1152,25-02-2018,-5.2,-8.1,2.9,47.4,"Snow, Partially cloudy"
1153,26-02-2018,-2.9,-5.2,2.3,21,Clear
1154,27-02-2018,2.1,-0.9,3,35.5,Clear
1155,28-02-2018,0.5,-2,2.5,21.7,Clear
1156,01-03-2018,-0.7,-4.2,3.5,31,Clear
1157,02-03-2018,-0.3,-3.7,3.4,28.5,Partially cloudy
1158,03-03-2018,3.5,-1.4,4.9,43.6,Clear
1159,04-03-2018,4.7,-0.6,5.3,45.1,Partially cloudy
1160,05-03-2018,0.2,-1.5,1.7,51.7,"Snow, Overcast"
1161,06-03-2018,-2.2,-4,1.8,37.7,"Snow, Overcast"
1162,07-03-2018,-7.8,-10.6,2.8,27.5,Clear
1163,08-03-2018,-8.5,-11.4,2.9,21,Clear
1164,09-03-2018,-6.2,-9.1,2.9,16.7,Partially cloudy
1165,10-03-2018,-1.6,-5,3.4,23.7,Partially cloudy
1166,11-03-2018,-0.2,-1.6,1.4,27,"Snow, Overcast"
1167,12-03-2018,-2.1,-5.4,3.3,30.2,Partially cloudy
1168,13-03-2018,-3.2,-6.9,3.7,29.5,Clear
1169,14-03-2018,0.5,-3.6,4.1,33.6,Clear
1170,15-03-2018,0.7,-3.1,3.8,23.4,Clear
1171,16-03-2018,-0.3,-6.6,6.3,40.1,"Snow, Partially cloudy"
1172,17-03-2018,2.5,-3.8,6.3,27.4,"Rain, Partially cloudy"
1173,18-03-2018,0.7,-0.6,1.3,16.3,Partially cloudy
1174,19-03-2018,3.3,-0.1,3.4,26.7,Partially cloudy
1175,20-03-2018,-0.1,-4.4,4.3,15.8,Overcast
1176,21-03-2018,-0.9,-4.2,3.3,14.4,Partially cloudy
1177,22-03-2018,1.3,-2,3.3,18.2,Partially cloudy
1178,23-03-2018,2.1,-3.2,5.3,36.3,Partially cloudy
1179,24-03-2018,-1.2,-2.8,1.6,51.8,"Snow, Partially cloudy"
1180,25-03-2018,-1.5,-6.9,5.4,31.3,Partially cloudy
1181,26-03-2018,-0.4,-3.8,3.4,30.2,"Snow, Overcast"
1182,27-03-2018,0.4,-1.3,1.7,28.7,"Rain, Partially cloudy"
1183,28-03-2018,-2.2,-3.5,1.3,22.3,Partially cloudy
1184,29-03-2018,-0.3,-3.9,3.6,33,Partially cloudy
1185,30-03-2018,1,-2.1,3.1,24.7,"Rain, Partially cloudy"
1186,31-03-2018,-0.6,-4.4,3.8,49.1,"Snow, Partially cloudy"
1187,01-04-2018,-5.1,-11.1,6,35.6,Clear
1188,02-04-2018,-2.1,-5.8,3.7,36.7,Partially cloudy
1189,03-04-2018,-1.9,-3.2,1.3,48.5,"Snow, Overcast"
1190,04-04-2018,-8.6,-13,4.4,42.8,Partially cloudy
1191,05-04-2018,-3.1,-6.1,3,32.6,Partially cloudy
1192,06-04-2018,-5.8,-11.4,5.6,56.8,Partially cloudy
1193,07-04-2018,-5.7,-9.9,4.2,24.7,Clear
1194,08-04-2018,-4.1,-5.6,1.5,23.8,"Snow, Partially cloudy"
1195,09-04-2018,-2.2,-5,2.8,21.7,"Snow, Partially cloudy"
1196,10-04-2018,1,-2.4,3.4,24.1,Partially cloudy
1197,11-04-2018,4.5,2,2.5,20.8,Partially cloudy
1198,12-04-2018,6.4,3.5,2.9,29.6,Clear
1199,13-04-2018,4.1,2.8,1.3,62.6,"Snow, Overcast"
1200,14-04-2018,-0.5,-1.8,1.3,68.3,"Snow, Overcast"
1201,15-04-2018,-4.6,-6.4,1.8,37.6,"Snow, Overcast"
1202,16-04-2018,-3.9,-6.7,2.8,36.6,"Snow, Partially cloudy"
1203,17-04-2018,-2.2,-5.8,3.6,24.7,Clear
1204,18-04-2018,-0.9,-2.9,2,31.4,"Snow, Partially cloudy"
1205,19-04-2018,-0.7,-5.2,4.5,26.2,Clear
1206,20-04-2018,-0.1,-3.9,3.8,16.1,Clear
1207,21-04-2018,5.4,0.8,4.6,17.7,Partially cloudy
1208,22-04-2018,8.7,2.7,6,23.1,Partially cloudy
1209,23-04-2018,10.4,2.9,7.5,15.9,Clear
1210,24-04-2018,12,5.5,6.5,38,Partially cloudy
1211,25-04-2018,8.2,1.2,7,20.2,Clear
1212,26-04-2018,10.4,2.5,7.9,38.4,Clear
1213,27-04-2018,10.3,1.1,9.2,49.6,Partially cloudy
1214,28-04-2018,7.1,-1.4,8.5,19.9,Clear
1215,29-04-2018,11.2,-3.3,14.5,38.8,Clear
1216,30-04-2018,18.6,4.8,13.8,55,Clear
1217,01-05-2018,18,13.1,4.9,38.2,"Rain, Partially cloudy"
1218,02-05-2018,13.9,11.9,2,19.4,"Rain, Partially cloudy"
1219,03-05-2018,14,11.6,2.4,34.2,"Rain, Partially cloudy"
1220,04-05-2018,16.8,8.3,8.5,33.3,"Rain, Partially cloudy"
1221,05-05-2018,19.3,8.4,10.9,33.5,Clear
1222,06-05-2018,17.8,8.2,9.6,29.1,Clear
