id,datetime,temp,dew,difference,windspeed,conditions
732,01-01-2019,-13,-15,2,32.6,Partially cloudy
733,02-01-2019,-7.2,-10.1,2.9,31.9,Partially cloudy
734,03-01-2019,-0.3,-3.9,3.6,26.4,Clear
735,04-01-2019,2.5,-0.6,3.1,27.6,Clear
736,05-01-2019,2.4,-0.4,2.8,22.1,Clear
737,06-01-2019,0.4,-0.5,0.9,53.5,"Rain, Partially cloudy"
738,07-01-2019,3.5,2.9,0.6,34.3,Partially cloudy
739,08-01-2019,-1.2,-4.7,3.5,55.1,Partially cloudy
740,09-01-2019,-10.7,-15.1,4.4,45.3,Clear
741,10-01-2019,-7.5,-11.1,3.6,23.8,Clear
742,11-01-2019,-3.5,-6.1,2.6,20.1,Partially cloudy
743,12-01-2019,-1.5,-3.9,2.4,21,"Snow, Partially cloudy"
744,13-01-2019,-2,-4.6,2.6,14.2,Partially cloudy
745,14-01-2019,-3.3,-3.6,0.3,21.6,Partially cloudy
746,15-01-2019,-1.2,-1.8,0.6,34.2,Overcast
747,16-01-2019,-6.2,-8.9,2.7,25.1,Partially cloudy
748,17-01-2019,-6,-7.7,1.7,21.3,"Snow, Partially cloudy"
749,18-01-2019,-11,-12.8,1.8,33.1,"Snow, Partially cloudy"
750,19-01-2019,-16.9,-19.4,2.5,34.6,"Snow, Partially cloudy"
751,20-01-2019,-19.4,-23.1,3.7,21.2,Partially cloudy
752,21-01-2019,-13.9,-17,3.1,43.9,Partially cloudy
753,22-01-2019,-8,-9.3,1.3,31.4,"Snow, Overcast"
754,23-01-2019,-9.6,-11.2,1.6,25,Partially cloudy
755,24-01-2019,-14.4,-17.3,2.9,49.6,Partially cloudy
756,25-01-2019,-19.9,-22.6,2.7,16.1,Partially cloudy
757,26-01-2019,-16.7,-18.4,1.7,23.5,Partially cloudy
758,27-01-2019,-18.6,-20.5,1.9,38.4,"Snow, Partially cloudy"
759,28-01-2019,-15,-17.2,2.2,42,"Snow, Partially cloudy"
760,29-01-2019,-22.3,-25.3,3,45.9,Partially cloudy
761,30-01-2019,-30.7,-34,3.3,40.3,Partially cloudy
762,31-01-2019,-24.8,-27.2,2.4,26.8,Partially cloudy
763,01-02-2019,-15.5,-17.5,2,31.1,Partially cloudy
764,02-02-2019,0.6,0.3,0.3,38.6,Partially cloudy
765,03-02-2019,5.3,5.3,0,22,"Rain, Partially cloudy"
766,04-02-2019,-9.5,-11,1.5,43.2,"Snow, Partially cloudy"
767,05-02-2019,-12.2,-13.8,1.6,27.3,"Snow, Partially cloudy"
768,06-02-2019,-8.6,-9.1,0.5,23.3,Overcast
769,07-02-2019,-14.8,-16.4,1.6,55.5,"Snow, Partially cloudy"
770,08-02-2019,-20,-23,3,51.8,Partially cloudy
771,09-02-2019,-15.6,-18.6,3,29.5,Partially cloudy
772,10-02-2019,-6.2,-7.6,1.4,18.3,"Snow, Overcast"
773,11-02-2019,-4.8,-5.5,0.7,30.4,"Snow, Partially cloudy"
774,12-02-2019,-7.3,-8.6,1.3,48.5,"Snow, Overcast"
775,13-02-2019,-12.2,-14.3,2.1,32.8,Partially cloudy
776,14-02-2019,-8.4,-9.9,1.5,49.2,Partially cloudy
777,15-02-2019,-17.6,-20,2.4,39.4,Partially cloudy
778,16-02-2019,-13.1,-15.9,2.8,21.8,Partially cloudy
779,17-02-2019,-6.9,-8.1,1.2,28.4,"Snow, Partially cloudy"
780,18-02-2019,-14,-15.7,1.7,20.2,Partially cloudy
781,19-02-2019,-15.6,-17.8,2.2,20.4,Partially cloudy
782,20-02-2019,-5,-6.3,1.3,36.9,"Snow, Partially cloudy"
783,21-02-2019,-11.8,-13.8,2,29.6,Clear
784,22-02-2019,-8.4,-11,2.6,29.1,Partially cloudy
785,23-02-2019,-0.6,-0.9,0.3,42.5,"Snow, Overcast"
786,24-02-2019,-11.2,-13.1,1.9,60.1,"Snow, Partially cloudy"
787,25-02-2019,-18,-21,3,33.5,Partially cloudy
788,26-02-2019,-15.2,-18.7,3.5,27.8,Overcast
789,27-02-2019,-15,-17.5,2.5,32.8,Partially cloudy
790,28-02-2019,-12.3,-14.9,2.6,19.9,Partially cloudy
791,01-03-2019,-8.3,-9.9,1.6,21.4,"Snow, Partially cloudy"
792,02-03-2019,-13.3,-14.9,1.6,33.9,Partially cloudy
793,03-03-2019,-21.6,-24.5,2.9,35.7,Clear
794,04-03-2019,-19.5,-22.3,2.8,37.8,Snow
795,05-03-2019,-14.4,-17.1,2.7,36.6,Partially cloudy
796,06-03-2019,-12.7,-15.4,2.7,28,Clear
797,07-03-2019,-10.6,-13.6,3,23.6,Partially cloudy
798,08-03-2019,-3.6,-5.1,1.5,27.6,Overcast
799,09-03-2019,0,-0.4,0.4,45.9,"Snow, Overcast"
800,10-03-2019,-4,-6.6,2.6,54,Partially cloudy
801,11-03-2019,-4.6,-7.5,2.9,15.6,Partially cloudy
802,12-03-2019,-2,-3.1,1.1,31.2,"Snow, Partially cloudy"
803,13-03-2019,3.4,3.4,0,37.1,"Rain, Partially cloudy"
804,14-03-2019,3.3,2.8,0.5,48,"Rain, Overcast"
805,15-03-2019,-1,-4.1,3.1,53.4,Partially cloudy
806,16-03-2019,-2.2,-4.9,2.7,20.1,Partially cloudy
807,17-03-2019,-1.6,-3,1.4,20,Partially cloudy
808,18-03-2019,0.1,-2.1,2.2,23.2,Clear
809,19-03-2019,2.2,-0.8,3,21.9,Clear
810,20-03-2019,2.8,1.4,1.4,33.3,Partially cloudy
811,21-03-2019,3.9,1.3,2.6,30.9,Partially cloudy
812,22-03-2019,3.5,0.4,3.1,24.9,Clear
813,23-03-2019,3.6,0.2,3.4,18.4,Partially cloudy
814,24-03-2019,6.1,4.3,1.8,21.7,"Rain, Partially cloudy"
815,25-03-2019,3,-1,4,17.9,Partially cloudy
816,26-03-2019,4.3,0.4,3.9,22.3,Partially cloudy
817,27-03-2019,10,4.7,5.3,44.7,Partially cloudy
818,28-03-2019,5.3,2.5,2.8,35.9,"Rain, Partially cloudy"
819,29-03-2019,2.3,-2.2,4.5,20.1,Partially cloudy
820,30-03-2019,0.6,-5.2,5.8,50.7,Partially cloudy
821,31-03-2019,-0.9,-7.1,6.2,20.1,Partially cloudy
822,01-04-2019,4.4,-0.5,4.9,27.1,"Rain, Partially cloudy"
823,02-04-2019,3.4,0.8,2.6,34.6,"Rain, Partially cloudy"
824,03-04-2019,4.7,-0.3,5,22.5,"Rain, Partially cloudy"
825,04-04-2019,4.9,3.9,1,28.7,"Rain, Partially cloudy"
826,05-04-2019,8.3,7,1.3,18.2,"Rain, Partially cloudy"
827,06-04-2019,13.4,10.3,3.1,36.1,"Rain, Partially cloudy"
828,07-04-2019,13.2,10.8,2.4,30.9,"Rain, Partially cloudy"
829,08-04-2019,13.4,6.4,7,44,Clear
830,09-04-2019,9.3,2.9,6.4,25.1,"Rain, Partially cloudy"
831,10-04-2019,1.3,-0.4,1.7,45.9,"Rain, Overcast"
832,11-04-2019,2.2,1.2,1,64.5,"Rain, Overcast"
833,12-04-2019,0.4,-1.8,2.2,45,Partially cloudy
834,13-04-2019,2.1,-2.3,4.4,31.9,Partially cloudy
835,14-04-2019,2,-2.6,4.6,25,Partially cloudy
836,15-04-2019,6.8,0.7,6.1,38.8,"Rain, Partially cloudy"
837,16-04-2019,12.6,6.4,6.2,28.1,"Rain, Partially cloudy"
838,17-04-2019,12.5,9.7,2.8,39.7,"Rain, Partially cloudy"
839,18-04-2019,7,3.9,3.1,46,Partially cloudy
840,19-04-2019,8.4,1.2,7.2,21.8,Clear
841,20-04-2019,12.7,2.9,9.8,29.1,Clear
842,21-04-2019,18.8,8.8,10,39.2,Clear
843,22-04-2019,13.4,9.6,3.8,33.3,"Rain, Partially cloudy"
844,23-04-2019,10.8,3.5,7.3,34,Clear
845,24-04-2019,13,5.5,7.5,25.7,Clear
846,25-04-2019,13.1,7.5,5.6,33.2,"Rain, Partially cloudy"
847,26-04-2019,10.2,-0.6,10.8,41.6,Partially cloudy
848,27-04-2019,3.4,1.6,1.8,38,"Rain, Partially cloudy"
849,28-04-2019,3.9,0.1,3.8,35,Partially cloudy
850,29-04-2019,9.7,4.5,5.2,30.7,Partially cloudy
851,30-04-2019,7.7,6.5,1.2,34.9,"Rain, Overcast"
852,01-05-2019,6.6,5.1,1.5,25.2,"Rain, Overcast"
853,02-05-2019,8.6,4.8,3.8,21.6,Partially cloudy
854,03-05-2019,8.3,3.3,5,20.4,Clear
855,04-05-2019,12.7,7.1,5.6,21.3,"Rain, Partially cloudy"
856,05-05-2019,14.3,10,4.3,15,"Rain, Partially cloudy"
857,06-05-2019,12,5.1,6.9,27,"Rain, Partially cloudy"
858,07-05-2019,12.2,4.2,8,28.6,Partially cloudy
859,08-05-2019,8.4,6.7,1.7,39.1,"Rain, Overcast"
860,09-05-2019,5.6,3.3,2.3,43.2,Overcast
861,10-05-2019,9.4,1.8,7.6,23.7,Clear
862,11-05-2019,8.6,6,2.6,32.3,Partially cloudy
863,12-05-2019,9.6,3.9,5.7,23.4,"Rain, Partially cloudy"
864,13-05-2019,11.3,3.5,7.8,14.8,Clear
865,14-05-2019,13.8,10.4,3.4,25.4,"Rain, Partially cloudy"
866,15-05-2019,16.7,9.9,6.8,16.7,Clear
867,16-05-2019,22.1,13.5,8.6,27.8,Rain
868,17-05-2019,14.3,11.7,2.6,34.1,"Rain, Partially cloudy"
869,18-05-2019,16.5,14.1,2.4,34.4,"Rain, Partially cloudy"
870,19-05-2019,8.8,7.2,1.6,35.5,"Rain, Overcast"
