"id";"Date";"hour";"temp";"dew";"windspeed";"difference";"Surface_Condition";"Surface_temp";"slip_factor";"visibility_factor";"slip_message";"visibility_message";"safe_factor";"safe_message"
"1";"2022-04-22";"00:00:00";"6.8";"4.7";"12.6";"2.1";"Dry";"15.56";"0.75";"0.33";"Normal";"Moderate Visibility";"0.61";"Medium Risk Accident Conditions"
"2";"2022-04-22";"01:00:00";"7.0";"5.0";"9.7";"2.0";"Dry";"15.56";"0.75";"0.32";"Normal";"Moderate Visibility";"0.59";"Medium Risk Accident Conditions"
"3";"2022-04-22";"02:00:00";"7.1";"5.3";"16.2";"1.8";"Dry";"15.56";"0.75";"0.34";"Normal";"Moderate Visibility";"0.62";"Medium Risk Accident Conditions"
"4";"2022-04-22";"03:00:00";"7.4";"5.6";"25.9";"1.8";"Dry";"15.56";"0.75";"0.32";"Normal";"Moderate Visibility";"0.59";"Medium Risk Accident Conditions"
"5";"2022-04-22";"04:00:00";"7.7";"6.9";"28.4";"0.8";"Dry";"15.56";"0.75";"0.27";"Normal";"Low Visibility";"0.53";"Medium Risk Accident Conditions"
"6";"2022-04-22";"05:00:00";"8.9";"8.1";"22.0";"0.8";"Dry";"15.56";"0.75";"0.24";"Normal";"Low Visibility";"0.51";"Medium Risk Accident Conditions"
"7";"2022-04-22";"06:00:00";"8.9";"8.4";"29.5";"0.5";"Dry";"15.56";"0.75";"0.24";"Normal";"Low Visibility";"0.51";"Medium Risk Accident Conditions"
"8";"2022-04-22";"07:00:00";"9.4";"9.0";"35.3";"0.4";"Dry";"15.56";"0.75";"0.17";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
"9";"2022-04-22";"08:00:00";"10.0";"9.5";"37.4";"0.5";"Dry";"15.56";"0.75";"0.18";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
"10";"2022-04-22";"09:00:00";"10.2";"9.7";"36.7";"0.5";"Dry";"15.56";"0.75";"0.17";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
"11";"2022-04-22";"10:00:00";"10.2";"9.8";"32.0";"0.4";"Dry";"15.56";"0.75";"0.21";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
"12";"2022-04-22";"11:00:00";"10.8";"10.5";"33.5";"0.3";"Dry";"15.56";"0.75";"0.19";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
"13";"2022-04-22";"12:00:00";"11.2";"10.8";"36.0";"0.4";"Dry";"15.56";"0.75";"0.17";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
"14";"2022-04-22";"13:00:00";"11.5";"11.1";"34.6";"0.4";"Dry";"15.56";"0.75";"0.19";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
"15";"2022-04-22";"14:00:00";"11.4";"10.9";"33.1";"0.5";"Dry";"15.56";"0.75";"0.21";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
"16";"2022-04-22";"15:00:00";"11.6";"11.2";"31.0";"0.4";"Dry";"15.56";"0.75";"0.22";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
"17";"2022-04-22";"16:00:00";"12.0";"11.7";"34.2";"0.3";"Dry";"15.56";"0.75";"0.19";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
"18";"2022-04-22";"17:00:00";"13.2";"12.8";"33.8";"0.4";"Dry";"15.56";"0.75";"0.2";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
"19";"2022-04-22";"18:00:00";"14.1";"13.6";"32.8";"0.5";"Dry";"15.56";"0.75";"0.22";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
"20";"2022-04-22";"19:00:00";"14.4";"14.0";"30.2";"0.4";"Dry";"15.56";"0.75";"0.23";"Normal";"Low Visibility";"0.51";"Medium Risk Accident Conditions"
"21";"2022-04-22";"20:00:00";"14.4";"14.1";"30.6";"0.3";"Dry";"15.56";"0.75";"0.21";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
"22";"2022-04-22";"21:00:00";"14.4";"14.2";"31.7";"0.2";"Dry";"15.56";"0.75";"0.19";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
"23";"2022-04-22";"22:00:00";"14.8";"14.5";"28.8";"0.3";"Dry";"15.56";"0.75";"0.22";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
"24";"2022-04-22";"23:00:00";"14.9";"14.4";"24.5";"0.5";"Dry";"15.56";"0.75";"0.21";"Normal";"Low Visibility";"0.5";"High Risk Accident Conditions"
