name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
burchinal,2021-01-01,-4.9,-12.7,-8.2,-6.4,-19.2,-13.2,-9.8,88.33,0,,0,,0.32,8.39,48.1,26.9,191.6,1020.8,42.2,7.7,123.6,4.4,2,,2021-01-01T07:44:50,2021-01-01T16:49:12,0.53,Partially cloudy,Clearing in the afternoon.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-02,-5.3,-15.5,-10.1,-10,-19,-14.2,-11.7,87.88,0,,0,,0.13,8.23,,15.9,192,1019.2,14.6,7.3,242,8.7,5,,2021-01-02T07:44:52,2021-01-02T16:50:06,0.56,Clear,Clear conditions throughout the day.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-03,-4.5,-15.8,-10.2,-10,-22.4,-15.7,-11.8,87.74,0,,0,,0.09,8.11,,20.2,156.7,1014.6,23.5,7.7,279.8,10.1,5,,2021-01-03T07:44:52,2021-01-03T16:51:02,0.6,Partially cloudy,Clearing in the afternoon.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-04,3.4,-9,-1.3,-1,-14.5,-6.6,-3.1,87.64,0.01,,4.17,,0,7.99,37.1,28.4,242.3,1014,36.3,8.8,164.3,5.9,4,,2021-01-04T07:44:49,2021-01-04T16:52:00,0.65,"Snow, Partially cloudy",Clearing in the afternoon with afternoon rain.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-05,2.8,-9.5,-2.8,0.2,-12.8,-5.8,-5.4,82.46,0,,0,,1.19,6.69,,15.2,175,1019.9,5.8,16,197.4,7.1,4,,2021-01-05T07:44:44,2021-01-05T16:52:59,0.7,Clear,Clear conditions throughout the day.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-06,1.2,-3.2,-1.2,-3.2,-8.2,-5.9,-3.8,82.75,0.03,,8.33,,0,5.81,37.1,21.8,115.8,1024.9,79.3,12.9,121.4,4.4,2,,2021-01-06T07:44:37,2021-01-06T16:54:00,0.76,"Snow, Partially cloudy",Partly cloudy throughout the day with morning rain.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-07,0,-5.5,-2.2,-1.5,-11.6,-5.7,-4.5,84.79,0,,0,,0,3.83,,21.4,108.5,1030,91.5,9.9,72.6,2.6,2,,2021-01-07T07:44:27,2021-01-07T16:55:02,0.82,Overcast,Cloudy skies throughout the day.,cloudy,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-08,-1.6,-7,-4.2,-3.5,-12.6,-8.7,-6.4,84.26,0,,0,,0.24,3.59,20.5,16.2,236.2,1029.6,100,11.6,60.6,2.2,1,,2021-01-08T07:44:14,2021-01-08T16:56:05,0.87,Overcast,Cloudy skies throughout the day.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-09,-5.6,-7.7,-6.6,-6.6,-14.1,-11.1,-8.4,87.15,0,,0,,0.18,3.49,,16.1,237.5,1029.9,100,9.7,73.9,2.7,1,,2021-01-09T07:44:00,2021-01-09T16:57:10,0.92,Overcast,Cloudy skies throughout the day.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-10,-1.5,-7.6,-3.5,-5.5,-13.6,-8.8,-5.7,85.08,0,,0,,0.14,3.44,29.5,25.1,309.8,1028.7,100,12.3,65.6,2.4,1,,2021-01-10T07:43:42,2021-01-10T16:58:17,0.96,Overcast,Cloudy skies throughout the day.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-11,3.9,-4.3,-0.5,-0.2,-10.6,-5.8,-3.8,78.96,0,,0,,0.76,4.05,47.9,29.1,230.7,1020.1,12.9,16,251.4,9.1,5,,2021-01-11T07:43:23,2021-01-11T16:59:24,0.99,Clear,Clear conditions throughout the day.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-12,6.7,-7,-0.2,3.9,-11.6,-4.2,-3.5,79.87,0,,0,,0.25,3.42,,20.8,246.2,1016.2,0,16,261.2,9.4,5,,2021-01-12T07:43:01,2021-01-12T17:00:33,1,Clear,Clear conditions throughout the day.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-13,9.3,-2.1,1.3,6.9,-5.6,-1.7,-1.8,80.84,0,,0,,1.94,3.21,,19.5,192.9,1006.5,24,16,135.1,4.9,3,,2021-01-13T07:42:36,2021-01-13T17:01:43,0,Partially cloudy,Partly cloudy throughout the day.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-14,2.2,-1.9,0.5,-0.9,-7.2,-4.3,-1,89.91,2.16,,37.5,,7.35,6.58,49.6,33.1,272.9,997.3,83.1,9.7,35.3,1.1,1,,2021-01-14T07:42:10,2021-01-14T17:02:54,0.01,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-15,1.6,-0.8,0.6,-3.7,-8.2,-5.5,-1.2,88.15,1.41,,29.17,,3.31,9.89,55,37.9,235.5,999.4,99.9,11.4,95,3.1,3,,2021-01-15T07:41:41,2021-01-15T17:04:06,0.03,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-16,-1.7,-6,-4.3,-9.2,-13.9,-11.8,-6.2,86.95,0,,0,,0.19,9.14,52.9,34.9,312.9,1009.7,99.9,15.7,109.8,4,2,,2021-01-16T07:41:09,2021-01-16T17:05:19,0.06,Overcast,Cloudy skies throughout the day.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-17,-2.7,-9,-5.3,-7.5,-14.7,-10.7,-7.2,86.47,0,,0,,1.15,8.46,37.1,28.8,310.9,1010,80.7,15.6,192.4,6.9,5,,2021-01-17T07:40:36,2021-01-17T17:06:32,0.1,Partially cloudy,Partly cloudy throughout the day.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-18,-3.7,-8.6,-6.1,-8.6,-14.3,-11.7,-8.8,81.27,0.03,,4.17,,0.91,8.23,,21.8,299.2,1015.3,38.3,15.2,,,,,2021-01-18T07:40:00,2021-01-18T17:07:47,0.14,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"72548514940,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-19,0.6,-15.5,-6.5,-6,-23.3,-13.3,-8.9,82.65,0.01,,4.17,,0,8.14,67.5,47.8,286.5,1022.9,83.2,12.8,,,,,2021-01-19T07:39:22,2021-01-19T17:09:02,0.19,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning rain.,snow,"72548514940,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-20,3.8,-18,-5.1,-1.5,-25.2,-11.4,-9.3,73.15,0,,0,,0.05,8.09,56.2,36.4,227.3,1014.6,0.2,16,276.4,10.9,5,,2021-01-20T07:38:42,2021-01-20T17:10:18,0.23,Clear,Clear conditions throughout the day.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-21,1.2,-11.5,-2.1,-5.3,-21.5,-9.3,-7.4,67.52,0,,0,,1.95,6.9,68.9,40.9,290.7,1012,32.7,15.9,250.4,9,5,,2021-01-21T07:37:59,2021-01-21T17:11:35,0.28,Partially cloudy,Becoming cloudy in the afternoon.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-22,-8.8,-16,-13.1,-11.9,-25.7,-19.7,-17.9,68.32,0,,0,,1.25,6.79,42.5,27.3,276.7,1025.1,0.1,16,312,11.2,5,,2021-01-22T07:37:15,2021-01-22T17:12:52,0.33,Clear,Clear conditions throughout the day.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-23,-7.6,-16.5,-11.3,-14.3,-22.3,-17.7,-14.4,77.83,0.27,,4.17,,1.97,8.57,35.3,24.1,147.2,1024.3,62.6,12.8,164.7,5.9,3,,2021-01-23T07:36:28,2021-01-23T17:14:10,0.37,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-24,-4.4,-14.1,-7.3,-6,-17.7,-11.9,-9.1,87.16,0.27,,4.17,,1.4,9.97,25.9,18.2,90.5,1020,60.2,9.1,286.5,10.3,5,,2021-01-24T07:35:39,2021-01-24T17:15:28,0.41,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-25,-7,-15.7,-9.9,-14.7,-22.9,-17.4,-14.4,70.96,0,,0,,2.57,12.29,46.9,35.8,51.7,1018.1,44.8,14.6,175.9,6.3,3,,2021-01-25T07:34:48,2021-01-25T17:16:47,0.44,Partially cloudy,Partly cloudy throughout the day.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-26,-7.1,-13,-9.4,-13.8,-19.9,-17.3,-13,75.16,0.13,,4.17,,1.66,13.95,47.3,34.4,57.1,1020.7,54.5,13.1,285.7,10.3,6,,2021-01-26T07:33:56,2021-01-26T17:18:06,0.47,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-27,-6.6,-16.4,-11.6,-10.9,-21.7,-16.2,-15.9,70.83,0,,0,,0,13.93,,12.6,117.5,1032.9,39.5,16,284.3,11.3,6,,2021-01-27T07:33:01,2021-01-27T17:19:25,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-28,-8.1,-18.6,-13.1,-14.8,-23.9,-18.5,-16.3,76.86,0,,0,,0,13.7,,20.3,131.1,1035.8,14.2,16,305.9,11,5,,2021-01-28T07:32:04,2021-01-28T17:20:45,0.5,Clear,Clear conditions throughout the day.,clear-day,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-29,-4.8,-10.4,-6.7,-12.2,-17.7,-14.3,-9.4,81.31,0,,0,,0,13.49,49.2,34.2,125.6,1023.3,83.8,13.2,218.8,7.9,4,,2021-01-29T07:31:06,2021-01-29T17:22:05,0.51,Partially cloudy,Partly cloudy throughout the day.,wind,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-30,-1.5,-4.2,-2.5,-7.4,-11.8,-9.3,-4.6,85.45,0,,0,,0.37,12.76,47.7,34.7,90.8,1011.6,88,8.9,87.7,3.2,2,,2021-01-30T07:30:05,2021-01-30T17:23:25,0.52,Partially cloudy,Partly cloudy throughout the day.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-01-31,-0.6,-3.3,-1.8,-6.4,-10,-8.3,-4.2,83.77,0,,0,,0.24,12.74,42.5,32.8,272.4,1021.2,93.8,13.5,178.2,7.1,4,,2021-01-31T07:29:03,2021-01-31T17:24:45,0.54,Overcast,Cloudy skies throughout the day.,snow,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-02-01,-3.8,-6.6,-4.8,-10,-12.5,-10.9,-6.8,86.04,0,,0,,0,12.67,31.7,27.9,320.2,1028.9,97.3,13.1,207.9,8.2,4,,2021-02-01T07:27:59,2021-02-01T17:26:06,0.59,Overcast,Cloudy skies throughout the day.,cloudy,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
burchinal,2021-02-02,-5.9,-7.8,-6.9,-7,-14.3,-10.9,-8.6,87.91,0,,0,,0,12.57,,20.5,128.8,1026.7,84.7,2.8,150,5.9,3,,2021-02-02T07:26:53,2021-02-02T17:27:27,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72548514940,E5720,KMCW,72545804907,72064354940,KCAV,KFXY"
