"id";"datetime";"temp";"dew";"difference";"windspeed";"conditions";"safe_factor"
1;"01-01-2021";-8.2;-9.8;1.6;26.9;"Partially cloudy";"0.28"
2;"02-01-2021";-10.1;-11.7;1.6;15.9;"Clear";"0.29"
3;"03-01-2021";-10.2;-11.8;1.6;20.2;"Partially cloudy";"0.27"
4;"04-01-2021";-1.3;-3.1;1.8;28.4;"Snow, Partially cloudy";"0.31"
5;"05-01-2021";-2.8;-5.4;2.6;15.2;"Clear";"0.35"
6;"06-01-2021";-1.2;-3.8;2.6;21.8;"Snow, Partially cloudy";"0.33"
7;"07-01-2021";-2.2;-4.5;2.3;21.4;"Overcast";"0.31"
8;"08-01-2021";-4.2;-6.4;2.2;16.2;"Overcast";"0.32"
9;"09-01-2021";-6.6;-8.4;1.8;16.1;"Overcast";"0.3"
10;"10-01-2021";-3.5;-5.7;2.2;25.1;"Overcast";"0.31"
11;"11-01-2021";-0.5;-3.8;3.3;29.1;"Clear";"0.38"
12;"12-01-2021";-0.2;-3.5;3.3;20.8;"Clear";"0.37"
13;"13-01-2021";1.3;-1.8;3.1;19.5;"Partially cloudy";"0.36"
14;"14-01-2021";0.5;-1.0;1.5;33.1;"Snow, Partially cloudy";"0.32"
15;"15-01-2021";0.6;-1.2;1.8;37.9;"Snow, Overcast";"0.3"
16;"16-01-2021";-4.3;-6.2;1.9;34.9;"Overcast";"0.32"
17;"17-01-2021";-5.3;-7.2;1.9;28.8;"Partially cloudy";"0.31"
18;"18-01-2021";-6.1;-8.8;2.7;21.8;"Snow, Partially cloudy";"0.34"
19;"19-01-2021";-6.5;-8.9;2.4;47.8;"Snow, Partially cloudy";"0.33"
20;"20-01-2021";-5.1;-9.3;4.2;36.4;"Clear";"0.42"
21;"21-01-2021";-2.1;-7.4;5.3;40.9;"Partially cloudy";"0.47"
22;"22-01-2021";-13.1;-17.9;4.8;27.3;"Clear";"0.44"
23;"23-01-2021";-11.3;-14.4;3.1;24.1;"Snow, Partially cloudy";"0.36"
24;"24-01-2021";-7.3;-9.1;1.8;18.2;"Snow, Partially cloudy";"0.29"
25;"25-01-2021";-9.9;-14.4;4.5;35.8;"Partially cloudy";"0.43"
26;"26-01-2021";-9.4;-13.0;3.6;34.4;"Snow, Partially cloudy";"0.41"
27;"27-01-2021";-11.6;-15.9;4.3;12.6;"Partially cloudy";"0.44"
28;"28-01-2021";-13.1;-16.3;3.2;20.3;"Clear";"0.36"
29;"29-01-2021";-6.7;-9.4;2.7;34.2;"Partially cloudy";"0.37"
30;"30-01-2021";-2.5;-4.6;2.1;34.7;"Partially cloudy";"0.34"
31;"31-01-2021";-1.8;-4.2;2.4;32.8;"Overcast";"0.37"
32;"01-02-2021";-4.8;-6.8;2.0;27.9;"Overcast";"0.31"
33;"02-02-2021";-6.9;-8.6;1.7;20.5;"Partially cloudy";"0.28"
34;"03-02-2021";-5.1;-7.0;1.9;39.6;"Partially cloudy";"0.29"
35;"04-02-2021";-6.4;-8.8;2.4;45.9;"Snow, Partially cloudy";"0.33"
36;"05-02-2021";-14.5;-18.5;4.0;40.1;"Partially cloudy";"0.41"
37;"06-02-2021";-18.5;-22.9;4.4;34.2;"Partially cloudy";"0.44"
38;"07-02-2021";-22.4;-27.3;4.9;19.8;"Snow, Partially cloudy";"0.45"
39;"08-02-2021";-20.1;-24.1;4.0;17.9;"Partially cloudy";"0.41"
40;"09-02-2021";-19.7;-23.7;4.0;19.4;"Clear";"0.41"
41;"10-02-2021";-16.3;-22.0;5.7;16.2;"Partially cloudy";"0.49"
42;"11-02-2021";-20.4;-24.7;4.3;23.3;"Partially cloudy";"0.42"
43;"12-02-2021";-22.8;-27.9;5.1;30.5;"Clear";"0.46"
44;"13-02-2021";-21.6;-26.3;4.7;21.4;"Partially cloudy";"0.44"
45;"14-02-2021";-24.7;-29.6;4.9;30.5;"Partially cloudy";"0.45"
46;"15-02-2021";-25.3;-30.7;5.4;23.6;"Clear";"0.47"
47;"16-02-2021";-21.6;-27.1;5.5;15.9;"Partially cloudy";"0.48"
48;"17-02-2021";-16.3;-20.0;3.7;18.2;"Overcast";"0.39"
49;"18-02-2021";-13.3;-16.4;3.1;17.9;"Partially cloudy";"0.36"
50;"19-02-2021";-13.8;-17.0;3.2;14.2;"Partially cloudy";"0.38"
51;"20-02-2021";-13.5;-16.1;2.6;22.2;"Partially cloudy";"0.33"
52;"21-02-2021";-6.0;-8.0;2.0;28.5;"Snow, Partially cloudy";"0.32"
53;"22-02-2021";-0.9;-4.2;3.3;33.8;"Partially cloudy";"0.4"
54;"23-02-2021";1.1;-2.7;3.8;26.4;"Clear";"0.4"
55;"24-02-2021";-0.5;-3.0;2.5;38.0;"Partially cloudy";"0.33"
56;"25-02-2021";-3.5;-5.2;1.7;17.6;"Partially cloudy";"0.28"
57;"26-02-2021";-2.4;-4.9;2.5;34.6;"Partially cloudy";"0.36"
58;"27-02-2021";1.5;-2.1;3.6;23.0;"Partially cloudy";"0.39"
59;"28-02-2021";-1.0;-3.4;2.4;46.8;"Partially cloudy";"0.33"
60;"01-03-2021";-5.7;-10.8;5.1;28.4;"Partially cloudy";"0.46"
61;"02-03-2021";0.2;-4.2;4.4;35.0;"Clear";"0.43"
62;"03-03-2021";3.0;-0.5;3.5;14.6;"Clear";"0.39"
63;"04-03-2021";1.8;-2.3;4.1;30.9;"Clear";"0.43"
64;"05-03-2021";1.3;-4.4;5.7;16.4;"Partially cloudy";"0.49"
65;"06-03-2021";2.7;-2.4;5.1;20.3;"Clear";"0.46"
66;"07-03-2021";6.8;1.2;5.6;37.3;"Clear";"0.48"
67;"08-03-2021";8.8;1.9;6.9;21.9;"Clear";"0.54"
68;"09-03-2021";10.6;4.5;6.1;40.4;"Rain";"0.51"
69;"10-03-2021";12.1;8.9;3.2;58.8;"Rain, Partially cloudy";"0.38"
70;"11-03-2021";3.2;-2.4;5.6;43.3;"Partially cloudy";"0.48"
71;"12-03-2021";1.8;-3.4;5.2;15.9;"Clear";"0.46"
72;"13-03-2021";4.4;-2.5;6.9;18.1;"Clear";"0.54"
73;"14-03-2021";4.4;-3.1;7.5;37.9;"Snow, Partially cloudy";"0.57"
74;"15-03-2021";-0.7;-3.4;2.7;46.4;"Snow, Overcast";"0.34"
75;"16-03-2021";-0.9;-2.4;1.5;19.6;"Partially cloudy";"0.26"
76;"17-03-2021";0.7;-1.6;2.3;31.0;"Partially cloudy";"0.36"
77;"18-03-2021";2.5;-2.6;5.1;34.5;"Clear";"0.46"
78;"19-03-2021";2.5;-5.9;8.4;26.9;"Clear";"0.61"
79;"20-03-2021";5.3;-3.1;8.4;35.4;"Clear";"0.6"
80;"21-03-2021";10.5;1.4;9.1;58.3;"Partially cloudy";"0.51"
81;"22-03-2021";8.0;2.3;5.7;24.4;"Rain, Partially cloudy";"0.49"
82;"23-03-2021";8.5;6.7;1.8;28.9;"Rain, Overcast";"0.31"
83;"24-03-2021";5.9;4.3;1.6;38.1;"Rain, Overcast";"0.28"
84;"25-03-2021";5.5;1.7;3.8;25.2;"Partially cloudy";"0.4"
85;"26-03-2021";5.3;1.6;3.7;14.5;"Partially cloudy";"0.4"
